'experiment_name','model_name','vocab_size','max_seq_length','use_punct','embedding_dim','embedding_type','embedding_source','train_loss','train_acc','val_loss','val_acc','test_loss','test_acc','precision_micro','recall_micro','f1_micro','precision_macro','recall_macro','f1_macro','precision_weighted','recall_weighted','f1_weighted'
roberta_1,roberta,1700,115,TRUE,768,roberta,roberta,0.774812043,0.715038955,1.145423412,0.614202797,1.037845135,0.624185383,0.624185373,0.624185373,0.624185373,0.612109608,0.566821833,0.612109608,0.629301313,0.624185373,0.603979801
roberta_2,roberta,1700,115,TRUE,768,roberta,roberta,0.784430444,0.712758839,1.158676028,0.613861382,1.033077836,0.627081811,0.627443881,0.627443881,0.627443881,0.612902185,0.567231146,0.612902185,0.631751352,0.627443881,0.609650659
roberta_3,roberta,1700,115,TRUE,768,roberta,roberta,0.701484263,0.738219619,1.190395474,0.61625129,1.032791138,0.629978299,0.63070239,0.63070239,0.63070239,0.620881097,0.576989641,0.620881097,0.635065357,0.63070239,0.615367184
roberta_4,roberta,1700,115,TRUE,768,roberta,roberta,0.646772087,0.754560113,1.267634749,0.606691718,1.050249696,0.626357734,0.626357712,0.626357712,0.626357712,0.625051002,0.570846596,0.625051002,0.637942457,0.626357712,0.610481241
roberta_5,roberta,1700,115,TRUE,768,roberta,roberta,0.731907427,0.726344287,1.187690496,0.608398795,1.046539903,0.623823345,0.623823316,0.623823316,0.623823316,0.5945214,0.555397428,0.5945214,0.614792142,0.623823316,0.593650737
roberta_6,roberta,1700,115,TRUE,768,roberta,roberta,0.783878863,0.710336268,1.144387364,0.609081626,1.041980386,0.624909461,0.624547429,0.624547429,0.624547429,0.59478392,0.561966747,0.59478392,0.622316608,0.624547429,0.599973171
roberta_7,roberta,1700,115,TRUE,768,roberta,roberta,0.653159797,0.755320132,1.242300391,0.606008887,1.028113484,0.629978299,0.629254164,0.629254164,0.629254164,0.628015274,0.577687849,0.628015274,0.635785742,0.629254164,0.612396119
roberta_8,roberta,1700,115,TRUE,768,roberta,roberta,0.735258937,0.727864325,1.190022469,0.61249572,1.037321568,0.624185383,0.624185373,0.624185373,0.624185373,0.604609652,0.568460446,0.604609652,0.624225718,0.624185373,0.605817832
roberta_9,roberta,1700,115,TRUE,768,roberta,roberta,0.693918288,0.741402209,1.211896539,0.614544213,1.03698945,0.624547422,0.624909486,0.624909486,0.624909486,0.608198666,0.574075171,0.608198666,0.630215388,0.624909486,0.611842604
roberta_10,roberta,1700,115,TRUE,768,roberta,roberta,0.743123114,0.722354174,1.175765038,0.616934121,1.03644383,0.628167987,0.627443881,0.627443881,0.627443881,0.610244595,0.572279951,0.610244595,0.631885394,0.627443881,0.608206682
xlnet_1,xlnet,1700,115,TRUE,768,xlnet,xlnet,0.77959919,0.70591867,1.282651901,0.61181289,1.076770782,0.624547422,0.624547429,0.624547429,0.624547429,0.610422763,0.566300274,0.610422763,0.6276085,0.624547429,0.603017105
xlnet_2,xlnet,1700,115,TRUE,768,xlnet,xlnet,0.815790594,0.694803357,1.297791958,0.607033134,1.090277076,0.619116604,0.619116582,0.619116582,0.619116582,0.596972168,0.55445497,0.596972168,0.615244514,0.619116582,0.594080194
xlnet_3,xlnet,1700,115,TRUE,768,xlnet,xlnet,0.837373495,0.691478252,1.254574537,0.61625129,1.11702168,0.606082559,0.606082549,0.606082549,0.606082549,0.568574916,0.551414477,0.568574916,0.598206708,0.606082549,0.578991367
xlnet_4,xlnet,1700,115,TRUE,768,xlnet,xlnet,0.798043191,0.699125946,1.203736544,0.612154305,1.090828538,0.626719773,0.626719768,0.626719768,0.626719768,0.62092762,0.568855088,0.62092762,0.63339516,0.626719768,0.605197758
xlnet_5,xlnet,1700,115,TRUE,768,xlnet,xlnet,0.882118821,0.676230252,1.181759715,0.61625129,1.107604265,0.602461994,0.602461984,0.602461984,0.602461984,0.571591695,0.527689798,0.571591695,0.593160958,0.602461984,0.571464081
xlnet_6,xlnet,1700,115,TRUE,768,xlnet,xlnet,0.771762669,0.707581222,1.2490201,0.617958367,1.102014065,0.616582215,0.616582187,0.616582187,0.616582187,0.611430633,0.562823899,0.611430633,0.625588049,0.616582187,0.601545539
xlnet_7,xlnet,1700,115,TRUE,768,xlnet,xlnet,0.81594038,0.694233298,1.194341421,0.614544213,1.080732226,0.613323689,0.613323678,0.613323678,0.613323678,0.597921815,0.553367384,0.597921815,0.614013562,0.613323678,0.591700174
xlnet_8,xlnet,1700,115,TRUE,768,xlnet,xlnet,0.810148597,0.697653413,1.267916679,0.615227044,1.080451369,0.616582215,0.616582187,0.616582187,0.616582187,0.610533294,0.562888651,0.610533294,0.629399168,0.616582187,0.601831858
xlnet_9,xlnet,1700,115,TRUE,768,xlnet,xlnet,0.791986525,0.701691031,1.294006348,0.602253318,1.077109933,0.623099208,0.623099203,0.623099203,0.623099203,0.618948223,0.566230097,0.618948223,0.632921752,0.623099203,0.602535413
xlnet_10,xlnet,1700,115,TRUE,768,xlnet,xlnet,0.763559997,0.712521374,1.323010206,0.607033134,1.097034931,0.612599552,0.612599566,0.612599566,0.612599566,0.604053808,0.567126939,0.604053808,0.618764757,0.612599566,0.594577847
